DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
75;11;2010;0;117211,6;257274;20016;55024;0;;
77;11;2010;0;187748,4;691796;158005;26339;0;;
78;11;2010;0;214284;540504;99206;1204;0;;
91;11;2010;0;182665,3;551489;92474;971;0;;
92;11;2010;0;141837,3;270645;194801;20635;0;;
93;11;2010;0;126917,4;394741;68607;542;0;;
94;11;2010;0;134117,6;370463;168198;11541;0;;
95;11;2010;0;144019,5;440140;46871;2343;0;;
99;11;2010;0;1248801;3517052;848178;118599;0;97789;
18;24;2010;0;44873,6;215234;79948;554;0;;
28;24;2010;0;64658,98;308321;81791;2308;0;;
36;24;2010;0;31133,28;154130;61116;492;0;;
37;24;2010;0;85855,54;339947;118327;2016;0;;
41;24;2010;0;48586,18;204704;64675;1576;0;;
45;24;2010;0;97104,28;408017;469034;26433;0;;
99;24;2010;0;372211,9;1630353;874891;33379;0;137033
21;27;2010;0;81650,86;367861;115293;4444;0;
25;27;2010;0;60364,02;311217;142865;10180;0;
39;27;2010;0;35053,8;184670;73632;2505;0;
58;27;2010;0;32548,9;117707;69430;1905;0;
70;27;2010;0;25982,88;146667;68971;5710;0;
71;27;2010;0;88866,6;421261;115144;34008;0;
89;27;2010;0;57202,74;258615;73101;1805;0;
90;27;2010;0;13636,72;54836;19401;281;0;
99;27;2010;0;395306,5;1862834;677837;60838;0;135029
14;28;2010;0;98971,3;459390;224631;8437;0;
27;28;2010;0;76301,4;347617;92547;10176;0;
50;28;2010;0;64092,88;315343;127838;18042;0;
61;28;2010;0;32325,42;176168;89842;6795;0;
76;28;2010;0;149963,2;697024;191172;105120;0;
99;28;2010;0;421654,2;1995542;726030;148570;0;161521
2;32;2010;0;59007,6;313076;104678;15536;0;
59;32;2010;0;230104,5;975490;673293;101453;0;
60;32;2010;0;94591,98;418597;115808;15748;0;
62;32;2010;0;145768,9;894110;164471;24520;0;
80;32;2010;0;67351,84;357883;117064;42986;0;
99;32;2010;0;596824,8;2959156;1175314;200243;0;174985
8;44;2010;0;25191,82;126211;51314;2577;0;
10;44;2010;0;39110,48;204342;60315;155;0;
51;44;2010;0;69089,36;426148;200718;66200;0;
52;44;2010;0;28325,72;172783;48107;3849;0;
54;44;2010;0;74330,04;345500;561519;3497;0;
55;44;2010;0;18821,16;103873;45834;5818;0;
57;44;2010;0;106318;443636;189986;1669;0;
67;44;2010;0;154867,9;591067;276364;10353;0;
68;44;2010;0;99720,92;398305;166149;14167;0;
88;44;2010;0;46861,24;237192;61719;16705;0;
99;44;2010;0;662636,7;3049057;1662025;124990;0;169682
44;52;2010;0;174058,4;702107;576548;21812;0;
49;52;2010;0;88874,74;415721;73785;19517;0;
53;52;2010;0;31578,76;199068;52609;14228;0;
72;52;2010;0;83267,76;367725;67765;4211;0;
85;52;2010;0;106070,1;549503;193297;5236;0;
99;52;2010;0;483849,7;2234124;964004;65004;0;198416
22;53;2010;0;73330,3;369149;118182;13054;0;
29;53;2010;0;111153,2;474794;203598;12377;0;
35;53;2010;0;125790,4;609631;477424;14773;0;
56;53;2010;0;93780,94;441373;118673;13578;0;
99;53;2010;0;404054,8;1894947;917877;53782;0;199102
16;75;2010;0;56467,18;294547;79115;23872;0;
17;75;2010;0;97379,56;429386;111602;12504;0;
19;75;2010;0;35404,56;168702;50235;3510;0;
23;75;2010;0;14819,24;72403;43591;1075;0;
24;75;2010;0;48780,8;215000;84279;451;0;
33;75;2010;0;206892,2;832276;172572;26465;0;
40;75;2010;0;54509,14;255304;68637;24225;0;
47;75;2010;0;45111,88;230665;578579;856;0;
64;75;2010;0;69497,84;281621;66979;4053;0;
79;75;2010;0;46873,82;283293;106580;22417;0;
86;75;2010;0;56410,94;271411;106125;4099;0;
87;75;2010;0;51271,64;206119;67365;1217;0;
99;75;2010;0;783418,8;3540727;1535659;124744;0;360776
9;76;2010;0;17132,48;72721;12005;1630;0;
11;76;2010;0;49555,58;259978;53798;5810;0;
12;76;2010;0;30651,54;159058;65470;2109;0;
30;76;2010;0;97709,6;366926;89588;2843;0;
31;76;2010;0;159880,7;658904;73570;2762;0;
32;76;2010;0;20545,36;107530;44314;785;0;
34;76;2010;0;165026,7;649296;204398;6823;0;
46;76;2010;0;26123,48;110003;30064;8143;0;
48;76;2010;0;11248,74;55131;36582;2329;0;
65;76;2010;0;27966,08;114966;26793;302;0;
66;76;2010;0;59505,62;222887;47634;2605;0;
81;76;2010;0;44839,56;208954;54753;8058;0;
82;76;2010;0;27704,86;162440;34541;328;0;
99;76;2010;0;737890,3;3148794;773510;44527;0;243505
1;84;2010;0;78514,74;356181;93254;27843;0;
3;84;2010;0;48504,78;220894;95833;4473;0;
7;84;2010;0;36970,4;128079;29752;9774;0;
15;84;2010;0;16106,1;79339;43990;17531;0;
26;84;2010;0;83002,84;474667;111830;4259;0;
38;84;2010;0;156954,7;621314;117446;28188;0;
42;84;2010;0;84706,32;380968;456117;27531;0;
43;84;2010;0;24761,88;126536;61717;5805;0;
63;84;2010;0;89010,16;360600;117508;15116;0;
69;84;2010;0;208395,8;917969;573635;23697;0;;
73;84;2010;0;63404,68;307520;96919;31795;0;;
74;84;2010;0;98881,76;407109;132737;4116;0;;
99;84;2010;0;989214,2;4381176;1930738;200128;0;300339;
4;93;2010;0;25510,76;94128;30097;532;0;;
5;93;2010;0;21263,9;87199;37386;958;0;;
6;93;2010;0;207185,9;418333;84388;5621;0;;
13;93;2010;0;277841,9;1078255;294708;265022;0;;
83;93;2010;0;190590,7;542047;127270;2837;0;;
84;93;2010;0;89368,32;370565;101915;8448;0;;
99;93;2010;0;811761,5;2590527;675764;283418;0;154188;
2A;94;2010;0;29150,82;73745;22532;0;0;;
2B;94;2010;0;35337,96;86733;43834;287;0;;
99;94;2010;0;64488,78;160478;66366;287;0;34569;
99;99;2010;;;;;;;22742;
FR;FR;2010;0;7972113;32964767;12828193;1458509;0;2389676;6127744,8
